,ID,Title,Year,Rating,Genres,Director,Top_Cast_Member,Revenue,Production_Companies,Rating Category,Female,Male,Unknown,Total_Gender_Count,Female_Ratio,Male_Ratio,Revenue_millions,Budget,Budget_millions,log_Budget,log_Revenue,Primary_Genre
198,9075,Black Book,2006,7.5,"['Drama', 'Thriller', 'War']",Paul Verhoeven,Carice van Houten,26768563,"['Studio Babelsberg', 'Motel Films', 'Motion Investment Group', 'Egoli Tossell Film', 'Nederlands Fonds voor de Film', 'uFilm', 'Fu Works', 'Hector BV', 'Media Programme of the European Community', 'Euroimages Fund of the Council of Europe', 'VIP 4 Medienfonds', 'ContentFilm International', 'Clockwork Pictures', 'CoBo Fonds', 'FFA', 'Medienboard Berlin-Brandenburg', 'Sony Pictures Classics']",7-8,16.0,58.0,179.0,74.0,0.21621621621621623,0.7837837837837838,26.768563,21000000,21.0,16.860033043306743,17.102738771921025,Drama
199,11798,This Is England,2006,7.5,"['Drama', 'Crime']",Shane Meadows,Thomas Turgoose,8176544,"['EM Media', 'UK Film Council', 'Screen Yorkshire', 'Big Arty Productions', 'Film4 Productions']",7-8,9.0,25.0,7.0,34.0,0.2647058823529412,0.7352941176470589,8.176544,2380000,2.38,14.682611465815636,15.916780247716764,Drama
200,7345,There Will Be Blood,2007,8.1,['Drama'],Paul Thomas Anderson,Daniel Day-Lewis,77208711,"['Paramount Vantage', 'Miramax', 'Ghoulardi Film Company', 'JoAnne Sellar Productions']",8-9,16.0,63.0,70.0,79.0,0.20253164556962025,0.7974683544303798,77.208711,25000000,25.0,17.034386422832473,18.162022858368886,Drama
201,7347,Elite Squad,2007,8.1,"['Drama', 'Action', 'Crime']",José Padilha,Wagner Moura,14759148,"['Universal Pictures do Brasil', 'The Weinstein Company', 'Zazen Produções', 'Estúdios Mega', 'Quanta Centro de Produções Cinematográficas', 'Costa Films', 'Posto 9', 'Feijão Filmes']",8-9,6.0,37.0,20.0,43.0,0.13953488372093023,0.8604651162790697,14.759148,4000000,4.0,15.201805169084134,16.50737371964788,Drama
202,7508,Like Stars on Earth,2007,8.0,['Drama'],Aamir Khan,Darsheel Safary,28430000,"['Aamir Khan Productions', 'PVR Inox Pictures', 'UTV Motion Pictures']",7-8,5.0,15.0,15.0,20.0,0.25,0.75,28.43,2600000,2.6,14.77102238760702,17.162955518801294,Drama
203,6977,No Country for Old Men,2007,7.9,"['Crime', 'Drama', 'Thriller']",Joel Coen,Josh Brolin,171627166,"['Miramax', 'Paramount', 'Scott Rudin Productions', 'Mike Zoss Productions']",7-8,23.0,68.0,68.0,91.0,0.25274725274725274,0.7472527472527473,171.627166,25000000,25.0,17.034386422832473,18.96083504833832,Crime
204,1646,Freedom Writers,2007,7.9,"['Crime', 'Drama']",Richard LaGravenese,Hilary Swank,43095175,"['Double Feature Films', 'Jersey Films', 'Kernos Filmproduktionsgesellschaft & Company']",7-8,34.0,59.0,38.0,93.0,0.3655913978494624,0.6344086021505376,43.095175,21000000,21.0,16.860033043306743,17.578921623055763,Crime
205,2011,Persepolis,2007,7.9,"['Animation', 'Drama']",Vincent Paronnaud,Chiara Mastroianni,0,"[""Société des Producteurs de L'Angoa"", 'Sony Pictures Classics', 'PROCIREP', 'Soficinéma', 'France 3 Cinéma', 'Diaphana Films', 'Sofica EuropaCorp', 'Celluloid Dreams', 'The Kennedy/Marshall Company', 'La Région Île-de-France', 'Fondation GAN pour le Cinéma', '2.4.7. Films', 'French Connection Animations', 'CNC']",7-8,13.0,19.0,11.0,32.0,0.40625,0.59375,0.0,7300000,7.3,15.803385043104912,0.0,Animation
206,2062,Ratatouille,2007,7.8,"['Animation', 'Comedy', 'Family', 'Fantasy']",Brad Bird,Patton Oswalt,623726000,"['Pixar', 'Walt Disney Pictures']",7-8,28.0,107.0,281.0,135.0,0.2074074074074074,0.7925925925925926,623.726,150000000,150.0,18.826145858727198,20.251221728939107,Animation
207,5915,Into the Wild,2007,7.8,"['Adventure', 'Drama']",Sean Penn,Emile Hirsch,56255142,"['River Road Entertainment', 'Paramount Vantage', 'Into the Wild', 'The Linson Company', 'Square One C.I.H.']",7-8,20.0,49.0,37.0,69.0,0.2898550724637681,0.7101449275362319,56.255142,15000000,15.0,16.52356082573315,17.845408025980344,Adventure
