State,,,,,,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,Estimated or Actual 2018 Total Ballots Counted VEP Turnout Rate,2018 Vote for Highest Office VEP Turnout Rate,Status,Source,Estimated or Actual 2018 Total Ballots Counted,2018 Vote for Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
Nebraska,51.5%,50.9%,Official,https://electionresults.sos.ne.gov/,"706,652","698,417","1,372,894","1,461,220",5.1%,"5,079","13,489","1,088","13,856",,NE
Nevada,46.5%,46.3%,Official,http://www.silverstateelection.com/,"975,980","972,132","2,099,842","2,403,374",11.5%,"13,742","13,724","5,261","26,826",,NV
New Hampshire,54.0%,53.3%,Final,http://sos.nh.gov/18GenResults.aspx,"580,568","573,608","1,075,753","1,107,322",2.6%,"2,818",0,0,"2,818",,NH
New Jersey,53.5%,52.2%,Official,https://www.njelections.org/election-information-archive-2018.html,"3,248,642","3,169,310","6,074,050","6,945,711",10.9%,"18,504","140,589","15,128","113,768",,NJ
New Mexico,46.8%,46.5%,Official,http://electionresults.sos.state.nm.us/,"701,654","696,459","1,498,900","1,624,253",6.7%,"6,914","12,714","2,780","16,941",,NM
New York,45.7%,44.8%,Certified,https://www.elections.ny.gov/2018ElectionResults.html,"6,230,959","6,104,477","13,620,990","15,412,110",11.0%,"46,416",0,"44,426","90,842",,NY
North Carolina,49.0%,48.2%,100% Counties Certified,https://er.ncsbe.gov/?election_dt=11/06/2018&county_id=0&office=FED&contest=0,"3,755,778","3,693,104","7,663,854","8,222,687",5.7%,"34,357","82,466","12,726","94,089",,NC
North Dakota,58.7%,57.9%,Official,https://results.sos.nd.gov/Default.aspx?map=Cty,"330,598","326,138","562,854","582,571",3.1%,"1,791",0,0,"1,791",,ND
Ohio,50.9%,50.2%,Official,https://www.sos.state.oh.us/elections/election-results-and-data/2018-official-elections-results/,"4,496,834","4,429,582","8,832,187","9,119,467",2.6%,"51,666",0,0,"51,666",,OH
Oklahoma,42.1%,41.9%,Official,https://www.ok.gov/elections/support/20181106_seb.html,"1,190,000","1,186,385","2,828,577","3,011,498",4.5%,"26,691","33,562","1,895","47,716",,OK
Oregon,61.2%,59.7%,Official,https://sos.oregon.gov/voting/Pages/current-election.aspx,"1,914,923","1,866,997","3,126,630","3,364,847",6.6%,"15,166",0,0,"15,166",,OR
Pennsylvania,51.7%,51.4%,Official,https://www.electionreturns.pa.gov/,"5,043,029","5,012,555","9,745,275","10,172,074",3.7%,"48,098",0,0,"48,098",,PA
Rhode Island,47.5%,47.0%,Official,https://www.ri.gov/election/results/2018/general_election/,"381,267","376,738","802,033","855,526",5.9%,"3,038",0,0,"3,038",,RI
South Carolina,44.5%,44.0%,Official,https://www.enr-scvotes.org/SC/92124/Web02-state.220747/#/,"1,726,527","1,707,569","3,881,840","4,057,306",3.3%,"20,350","32,634","4,347","43,298",,SC
South Dakota,53.1%,52.8%,Official,https://sdsos.gov/elections-voting/election-resources/election-history/2018_Election_History.aspx,"341,048","339,214","642,257","669,423",3.1%,"3,744",0,"2,687","6,431",,SD
Tennessee,44.7%,44.2%,Official,https://sos.tn.gov/products/elections/election-results#2018,"2,267,428","2,243,740","5,073,296","5,337,147",3.5%,"27,906","62,609","12,092","75,685",,TN
Texas,45.6%,45.6%,Official,https://elections.sos.state.tx.us/elchist331_state.htm,"8,375,000","8,371,655","18,377,841","21,711,618",13.1%,"155,327","374,285","111,287","479,956",,TX
Utah,50.6%,49.8%,Certified,https://elections.utah.gov/Media/Default/2018%20Election/2018%20General%20Election%20Canvass.pdf,"1,082,972","1,065,630","2,140,159","2,291,926",6.4%,"5,846",0,0,"5,846",,UT
Vermont,55.7%,54.8%,Official,https://vtelectionresults.sec.state.vt.us/Index.html#/,"278,230","274,087","499,907","510,397",2.1%,0,0,0,0,,VT
Virginia,54.4%,54.3%,Official,https://results.elections.virginia.gov/vaelections/2018%20November%20General/Site/Congress.html,"3,363,505","3,351,373","6,177,626","6,687,863",6.5%,"36,959","60,821","1,650","73,277",,VA
Washington,58.3%,57.4%,Final,https://results.vote.wa.gov/results/current/,"3,133,448","3,086,168","5,373,202","5,981,386",8.8%,"18,335","89,317","11,322","80,568",,WA
West Virginia,42.5%,41.7%,Official,https://results.enr.clarityelections.com/WV/92360/Web02-state.216038/#/,"597,149","586,034","1,404,206","1,429,959",0.8%,"7,137","6,523","3,550","14,405",,WV
Wisconsin,61.4%,61.4%,Certified,https://elections.wi.gov/node/6300,"2,675,000","2,673,308","4,354,527","4,563,564",3.1%,"22,889","44,489","20,401","68,649",,WI
Wyoming,47.9%,47.4%,Official,https://soswy.state.wy.us/Elections/Docs/2018/2018GeneralResults.aspx,"205,275","203,420","428,898","445,747",2.5%,"2,323","4,666",842,"5,825",,WY
,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,
Louisiana,"The ""Highest Office"" is Constitional Amendment 1: Prohibit felons from public office",,,,,,,,,,,,,,
North Carolina,"The ""Highest Office"" is Photo Voter ID Referrendum",,,,,,,,,,,,,,
Utah,"The ""Highest Office"" is Proposition 2 (Medical Marijuana)",,,,,,,,,,,,,,
