State,,,,,,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,Source,,Total Ballots Counted (Estimate),Vote for Highest Office (President),VEP Turnout Rate (Total Ballots Counted),VEP Turnout Rate (Highest Office),Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
Tennessee,https://elections.tn.gov/results.php,OFFICIAL,"3,065,000","3,053,851",59.7%,59.5%,"5,131,238","5,397,825",3.6%,"26,107","61,253","10,842","74,926",,TN
Texas,https://results.texas-election.com/races,OFFICIAL,"11,350,000","11,315,056",60.8%,60.6%,"18,660,177","21,916,249",12.6%,"154,913","368,167","109,213","492,390",,TX
Utah,https://voteinfo.utah.gov/wp-content/uploads/sites/42/2020/11/2020-General-Election-Canvass.pdf,OFFICIAL,"1,515,845","1,488,289",69.2%,68.0%,"2,190,033","2,341,833",6.2%,"6,287",0,0,"6,287",,UT
Vermont,https://electionresults.vermont.gov/Index.html#/federal,OFFICIAL,"370,968","367,428",72.2%,71.6%,"513,506","525,579",2.3%,0,0,0,0,,VT
Virginia,https://results.elections.virginia.gov/vaelections/2020%20November%20General/Site/Presidential.html,OFFICIAL,"4,523,142","4,460,524",72.8%,71.8%,"6,215,576","6,748,359",6.8%,"35,743","63,111","1,860","76,732",,VA
Washington,https://results.vote.wa.gov/results/20201103/turnout.html,OFFICIAL,"4,116,894","4,087,631",76.2%,75.6%,"5,405,804","6,034,791",9.1%,"18,777","76,672","12,222","78,536",,WA
West Virginia,https://sos.wv.gov/elections/Pages/HistElecResults.aspx,OFFICIAL,"802,726","794,652",57.2%,56.7%,"1,402,385","1,430,531",0.9%,"6,757","6,593","4,287","15,132",,WV
Wisconsin,https://elections.wi.gov/,OFFICIAL,"3,310,000","3,298,041",75.3%,75.0%,"4,395,551","4,614,661",3.2%,"23,574","42,909","21,015","71,193",,WI
Wyoming,https://sos.wyo.gov/Elections/Docs/2020/2020GeneralResults.aspx,OFFICIAL,"278,503","276,765",65.3%,64.9%,"426,246","442,682",2.2%,"2,488","5,383",934,"6,759",,WY
"* Notes: For Montana I am using the US Senate election as the highest office since that race had the highest turnout. Pennsylvania does not yet include write-in votes. Kansas reported write-in votes for Sedgwick and Wyandotte counties only in their precinct results, which are included in the highest office vote total.",,,,,,,,,,,,,,,
